Organisation Name,ch_company_number,ch_company_name,ch_sic_codes,sic_tech_score,is_active_score,company_age_score,company_type_score,name_keyword_score,role_fit_score,role_fit_bucket
ALPHA DATA PARALLEL SYSTEMS LTD,SC147524,ALPHA DATA PARALLEL SYSTEMS LIMITED,26200;62090;74100,0.5,0.1,0.12,0.08,0.05,0.85,strong
ANZ DIGITAL LIMITED,09363813,ANZ DIGITAL LIMITED,62012;62020;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
APPLY4 TECHNOLOGY LIMITED,03191937,APPLY4 TECHNOLOGY LIMITED,59140;62012;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
ASSET CONTROL TECHNOLOGY LIMITED,03545596,ASSET CONTROL TECHNOLOGY LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
ATELIER TECHNOLOGY LIMITED,08959344,ATELIER TECHNOLOGY LIMITED,62012,0.5,0.1,0.12,0.08,0.05,0.85,strong
ATS Applied Tech Systems Ltd,02601465,ATS APPLIED TECH SYSTEMS LTD.,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
AUTOMATION CONSULTANTS LTD,04047568,AUTOMATION CONSULTANTS LIMITED,62012;62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
AVR Technology Services Ltd,08232615,AVR TECHNOLOGY SERVICES LTD,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Abacus Information Technology UK Limited,08824522,ABACUS INFORMATION TECHNOLOGY UK LIMITED,62020;62030;62090;63110,0.5,0.1,0.12,0.08,0.05,0.85,strong
Ace Software Solutions Ltd,03424072,ACE SOFTWARE SOLUTIONS LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Acumen Software Ltd,05210967,SOFTWARE ACUMEN LIMITED,62012;62020;62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Acuvate Software Ltd,07742878,ACUVATE SOFTWARE LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
Adelante Software Ltd,04450760,ADELANTE SOFTWARE LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Adroit Tech Solutions,09652405,ADROIT TECH SOLUTIONS LIMITED,62020;78109,0.5,0.1,0.12,0.08,0.05,0.85,strong
Advent Data Solutions Ltd,06828711,ADVENT DATA SOLUTIONS LTD,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Afferent Software Limited,05536421,AFFERENT SOFTWARE LIMITED,62090,0.5,0.1,0.12,0.08,0.05,0.85,strong
Affluent Technology Limited,06535231,AFFLUENT TECHNOLOGY LIMITED,62020,0.5,0.1,0.12,0.08,0.05,0.85,strong
